time,[OPT-101] Ox Fill,[NPT-201] N2 Fill,[FPT-301] Fuel Tank,[OPT-102] Ox Tank,[CCPT-101] Combustion Chamber PT1 (psi),[Load Cell] Tank Mass - Flintec (kg),[Load Cell] Thrust - CAS BSA-5KLB (kg),[INJ-302] FUEL Valve Hall Sensor (mV),[INJ-301] OX Valve Hall Sensor (mV)
2930.440051794052,598.6957742194028,154.07629137163087,342.3853071784369,343.0170138520842,87.78371950348985,32.654643839941414,62.500693028425786,4676.773117660748,14.607740706040458
2930.4728860855103,603.4058314768826,150.59923427545343,338.9407179457846,341.0503798587472,82.75390563080926,34.016976175565354,192.9021402160372,4687.45268116711,119.63956804888578
2930.4952158927917,595.415996134017,150.47593436166625,337.8560895074895,337.9037654810418,77.35460309342179,31.27175073706545,135.70649333934153,4691.240506735869,15.015452192819234
2930.517139196396,602.8633117936465,151.56097346110292,334.88826004867747,337.3316537770842,75.80513438318934,38.3027072564972,141.5901352312619,4699.394853882064,54.49772364755083
2930.5390162467957,597.3394750099402,158.19450795467438,334.6617991674925,335.4722907458454,71.82419171520158,37.81341819811325,29.585435628122262,4707.417679561025,12.569182982792107
2930.5612037181854,602.1481722094233,155.03803056914353,331.5509417963048,334.14928243350414,68.2365757070384,33.74834678666116,118.03897736884956,4716.808331854472,161.68655169631586
2930.5929539203644,599.2382939106167,164.72940257876192,329.0241151342653,330.75236921837256,67.24729956736795,32.44357668433053,109.53670065810617,4715.361592644588,15.449467699903492
2930.61296582222,597.0188951916732,162.53466434476877,327.82029676930966,329.23865701763134,62.98030113764861,39.999458209547136,32.237218359297096,4723.068766912196,15.212731978561303
2930.642967939377,599.0163540309746,166.0857014000911,324.7690344011039,326.425774513596,66.91356783127522,36.80468870203383,211.69665282061516,4726.172680212349,10.175521706235196
2930.6670463085175,597.1915150945623,171.46157699525793,324.363788617489,325.8059868446715,66.88972985299853,33.589362146480205,109.03948879212007,4728.960941324579,679.3889990160966
2930.6871564388275,598.8930541066791,171.04235734504775,322.1945317805925,323.4817830883374,65.85277772908229,33.851139527044644,99.26104235457751,4732.972354835634,2023.18188807732
2930.7171869277954,600.3233332741961,167.3926803303454,319.2862973560716,321.622420089971,61.52618437355908,39.01539693505646,7.973401380411493,4731.49931117279,108.51306045889721
2930.7391123771667,600.2000333387244,164.55678267920047,317.24814947029745,319.11943144783436,58.22462417427051,28.214038390826275,120.65761556827039,4731.157354611487,194.10628312969365
2930.7610652446747,597.512094906243,161.57292513379508,316.1277640822424,316.80714671366195,54.56549427468294,36.23864837649288,101.61449779184608,4730.907463279016,1445.2170982434188
2930.793237686157,599.904113515712,161.9921447810172,312.7427699416737,314.45910499543555,56.043449012274614,40.27493832363917,79.6378415054524,4731.1968111432425,125.2422824800843
2930.8206179142,597.6847148141748,161.20302543682337,312.3017671830702,313.32680061885884,51.788369643995686,25.821046428983678,91.90234122605065,4729.973658832644,105.04093554169876
2930.8430337905884,600.2000333406925,160.11798633470386,308.98828702149075,310.8357309933604,50.13163006101906,39.1291527318395,82.70396705830098,4727.422136826492,408.40506446207723
2930.8650302886963,596.821615307989,161.35098531083585,307.66527875958417,308.41617533969236,50.1912250112754,35.65753227495791,100.05657083916296,4725.05474531829,238.6521015088589
2930.8869259357452,598.7697541799969,159.23022707332086,305.26956109980364,307.5460888239819,49.39265269563602,28.377134861047626,84.64308158506662,4725.159962708849,311.8955387448164
2930.918889760971,598.4738343645446,160.2166262525554,303.0407093574916,303.8392819053763,45.39979112864852,38.265702005990924,10.558887898775811,4722.818875578018,12.056255563771895
2930.9388856887817,596.6243354283184,158.7863474424723,301.5389162064902,302.46859767996375,42.80145137142488,34.28834608731604,81.80899105360815,4720.911810245919,105.77744757458719
2930.968898296356,599.6575136608011,157.75062830104537,298.03473220100767,300.7165056716547,39.04696962399468,33.64144322732513,-7.771562525671937,4718.070940532193,10.451713391655144
2930.9908154010773,597.3394750094126,159.00828725607957,297.30767361708496,298.5114919288025,34.49391558557477,34.65154361517648,12.514578108290467,4714.335723032352,10.662145151563548
2931.0126621723175,598.8190741447768,156.1230696536214,295.23376880629985,297.641405425931,29.440264008415298,32.7862157708663,-5.782725757858465,4714.625070858787,9.715202231321138
2931.0443732738495,595.6379360067023,158.63838756400625,295.24568780086906,295.2337688082536,25.566592413010998,38.590523913355376,15.448112871546577,4711.297570822816,7.282085006812443
2931.066319465637,597.9559746542517,158.02188807514634,291.62231389435465,293.08835004505306,23.731068031127297,29.132311399872087,5.023290343346544,4708.298875184375,9.018147026059292
2931.088163137436,595.5639560432376,158.4411077285033,129.10686138560789,291.4673669861597,20.381831992320652,38.22595578804763,4.476360056288936,4706.023549155788,7.887076316489015
2931.1199004650116,604.9100906053005,156.19704959248992,38.70131895161892,289.97749284798545,19.678611615924954,42.970823660037965,-8.351640763355796,4705.405396989473,9.26803474090945
2931.1433534622192,596.2790956278698,157.8985881792877,17.02067698533149,288.41610475998846,16.48432245178458,23.61307948984289,11.71904268671806,4702.696049279522,6.940133397193082
2931.1634435653687,600.4712931808766,157.9232481586552,3.695246906090467,285.448275499992,16.019481866664556,36.2962118880005,3.6642514597383014,4699.789418994511,9.281186725932576
2931.1934475898743,602.4194320487346,156.76422912203006,-1.4775944203194102,284.28021418787625,15.697669151824991,39.43752805346811,-5.98160963075819,4697.842897389845,9.544226425848763
2931.2153680324554,602.7153518828117,157.35606862953065,-3.7541213554714976,282.7069071179425,14.767987980646737,29.1213469444643,-2.8823381144837232,4695.633332349821,9.70205024584332
2931.2374355793,603.5291314049837,156.2956895097594,-4.934101285501188,281.2766279636295,14.648798085330434,33.56332146175188,3.8134142513976075,4694.554854187162,9.307490695848662
2931.2748959064484,602.690691891321,157.3807286092456,19.58325997637188,279.0477762886804,14.183957499738746,37.32687047433864,-4.059066875943695,4692.897680436439,9.149666875895331
2931.286814928055,597.561414876185,159.57546678492105,30.70367699188734,276.02035210031573,12.825192712636646,30.152005639280727,3.8299878953896864,4690.819637184213,8.071204106268228
2931.326006412506,595.662595988913,160.3645861287576,2.610618887735263,274.26826015455646,13.218519361471735,34.07728033698243,107.01750753326716,4688.4522461669085,334.01714336746574
2931.3384296894073,594.7994964932617,159.20556709117906,7.771541422694629,273.076360872897,17.676221392447978,39.408746329163115,123.88947290042381,4686.558333375435,6.374598042749824
2931.3703198432922,595.3173561898733,159.05760721437832,105.54301561042973,272.11092245793634,22.98017169607946,26.700943783291883,95.20049195191113,4686.098007353693,7.584580661690993
2931.3903110027313,596.0078357855833,159.92070649956125,37.402149090566496,269.0477413192024,26.86576227002234,35.700019669782364,75.90876870850383,4684.835398840482,8.071204106363567
2931.420305252075,597.1175351398795,161.572925126587,45.626252000653714,268.41603470424974,32.01476575249334,38.3109303146264,62.45096907268979,4684.098877211911,8.084356091251845
2931.442195415497,595.120076305811,159.89604651854046,35.8050044650757,266.3421299717292,35.14946001488875,27.194344210140187,87.11255257352843,4683.37550775894,8.058052121289512
2931.464184999466,603.1345716347396,159.25488705125744,33.73110025897668,265.78193731461647,38.1172884307135,34.90372615165354,64.48952731284767,4683.822681604292,8.97869107092707
2931.4957945346832,599.9287735005328,156.24636955190982,34.279373773048434,265.424367534489,38.89202275724502,40.16255261549403,42.29741698401629,4684.532898886542,7.387300886765384
2931.515784740448,597.0435551784689,158.6630475430804,28.86815250832461,261.7533177981097,38.65364296439416,28.12906386074753,49.63954160952948,4680.218986556562,6.900677442287964
2931.5357756614685,599.6821736405258,157.4300485673656,30.334188222515227,260.8117173804145,38.35566822363285,31.555455803531082,61.72172862001914,4678.193552129672,7.400452872136409
2931.5657920837402,596.6489954098633,160.3399261494521,27.580901638868404,257.77237427030695,37.50941995909162,40.69706980651158,46.70600646700524,4674.524096328841,7.453060811709878
2931.5877397060394,592.8760176235734,160.2166262523009,24.97064293709711,255.8414974766003,34.11250791775382,28.293530660548992,36.082300230125824,4672.7880097407,6.5324218625505
2931.6195526123047,595.3173561849751,159.2055670912161,21.812110726039656,254.828383111715,33.93372307375462,32.69027682407459,45.51270406319629,4671.656923033916,7.755556466481623
2931.6395637989044,594.5035766625301,160.95642563809443,23.611878135023787,252.62336949809594,32.49152533418921,38.11768179859893,50.70025484887649,4669.789314764702,7.347844931771733
2931.6706235408783,598.9423740727443,157.3807286080132,20.655968749524636,251.21692838668804,33.34969258455677,30.236980137565737,30.612997506775724,4670.907249289555,8.663043431040109
2931.6925938129425,599.1149939763073,155.9257898180509,20.822834602557876,250.43027488470057,33.64766732387955,32.6491600705171,34.32549391072541,4671.025618828323,8.715651370996001
2931.7147426605225,594.404936725777,157.28208869186324,23.42117430424366,249.4648364954085,31.192355470666563,34.96540106533294,37.70651742875954,4670.170727722626,5.664390853708859
2931.7367594242096,592.3334979378131,156.91218899770536,22.312708283262346,247.73658259335588,29.67864379684904,33.44134189806271,31.143354157158296,4668.553010711155,5.480263063976773
2931.7684202194214,595.5639560456938,156.71490916260692,21.06121439110659,247.46244576860306,29.476020974914555,33.19053000360748,16.343089522241154,4668.7765976137425,6.3614460578234
2931.788417816162,599.8547935366676,155.30929033029133,19.857396456343146,246.28246551957818,30.29843125353753,33.37281405819985,24.712780042588278,4667.855945663642,7.663492571535334
2931.8154895305634,598.5478143082348,156.1230696538314,21.44262205267791,244.69723953386247,30.52489205555573,33.45915913581012,23.8840977951723,4666.593337281986,7.558276691606997
